forest_source,avg_altitude,river_length,In_City,In_Habitat,geometry,id,status1,status2,status3
9977.54827854,1026.30093174,57.0010389633,0,0,"POLYGON ((101.52258339096329 22.059430269912014, 101.47444718492756 21.976055915374502, 101.37817477285603 21.976055915374502, 101.33003856682029 22.059430269912014, 101.37817477285603 22.142804624449468, 101.47444718492756 22.142804624449468, 101.52258339096329 22.059430269912014))",66,none,none,none
9980.27132701,1238.45943507,51.9041943922,0,0,"POLYGON ((101.66699200907033 21.976055915374502, 101.61885580303459 21.892681560837048, 101.52258339096329 21.892681560837048, 101.47444718492756 21.976055915374502, 101.52258339096329 22.059430269912014, 101.61885580303459 22.059430269912014, 101.66699200907033 21.976055915374502))",67,none,none,none
9727.0,607.050637425,5.41937209533,0,0,"POLYGON ((99.21204550124958 22.226178978986923, 99.16390929521401 22.142804624449468, 99.06763688314254 22.142804624449468, 99.0195006771068 22.226178978986923, 99.06763688314254 22.309553333524207, 99.16390929521401 22.309553333524207, 99.21204550124958 22.226178978986923))",68,none,none,none
9803.85784873,1068.33934588,44.7357650525,0,0,"POLYGON ((99.35645411935661 22.142804624449468, 99.30831791332105 22.059430269912014, 99.21204550124958 22.059430269912014, 99.16390929521401 22.142804624449468, 99.21204550124958 22.226178978986923, 99.30831791332105 22.226178978986923, 99.35645411935661 22.142804624449468))",69,none,none,none
9750.78584439,1398.54408701,58.6897451941,0,0,"POLYGON ((99.50086273746388 22.226178978986923, 99.45272653142814 22.142804624449468, 99.35645411935661 22.142804624449468, 99.30831791332105 22.226178978986923, 99.35645411935661 22.309553333524207, 99.45272653142814 22.309553333524207, 99.50086273746388 22.226178978986923))",70,none,none,none
9832.22965642,1355.27470557,44.7480602504,0,0,"POLYGON ((99.64527135557091 22.142804624449468, 99.59713514953518 22.059430269912014, 99.50086273746388 22.059430269912014, 99.45272653142814 22.142804624449468, 99.50086273746388 22.226178978986923, 99.59713514953518 22.226178978986923, 99.64527135557091 22.142804624449468))",71,none,none,none
9868.5253492,1276.03599979,55.7754572004,0,0,"POLYGON ((99.78967997367795 22.226178978986923, 99.74154376764238 22.142804624449468, 99.64527135557091 22.142804624449468, 99.59713514953518 22.226178978986923, 99.64527135557091 22.309553333524207, 99.74154376764238 22.309553333524207, 99.78967997367795 22.226178978986923))",72,none,none,none
9837.9594983,1429.43347986,67.859424786,0,0,"POLYGON ((99.93408859178521 22.142804624449468, 99.88595238574948 22.059430269912014, 99.78967997367795 22.059430269912014, 99.74154376764238 22.142804624449468, 99.78967997367795 22.226178978986923, 99.88595238574948 22.226178978986923, 99.93408859178521 22.142804624449468))",73,none,none,none
9817.8618097,1261.51456541,44.0320001677,0,0,"POLYGON ((100.07849720989225 22.226178978986923, 100.03036100385651 22.142804624449468, 99.93408859178521 22.142804624449468, 99.88595238574948 22.226178978986923, 99.93408859178521 22.309553333524207, 100.03036100385651 22.309553333524207, 100.07849720989225 22.226178978986923))",74,none,none,none
9862.24385193,1264.59275363,69.3811854585,0,0,"POLYGON ((100.22290582799928 22.142804624449468, 100.17476962196355 22.059430269912014, 100.07849720989225 22.059430269912014, 100.03036100385651 22.142804624449468, 100.07849720989225 22.226178978986923, 100.17476962196355 22.226178978986923, 100.22290582799928 22.142804624449468))",75,none,none,none
9921.52959502,1383.7789335,68.1305119335,0,0,"POLYGON ((100.36731444610632 22.226178978986923, 100.31917824007058 22.142804624449468, 100.22290582799928 22.142804624449468, 100.17476962196372 22.226178978986923, 100.22290582799928 22.309553333524207, 100.31917824007058 22.309553333524207, 100.36731444610632 22.226178978986923))",76,none,none,none
9872.30982629,1391.69539575,42.0981736527,0,1,"POLYGON ((100.51172306421358 22.142804624449468, 100.46358685817785 22.059430269912014, 100.36731444610632 22.059430269912014, 100.31917824007058 22.142804624449468, 100.36731444610632 22.226178978986923, 100.46358685817785 22.226178978986923, 100.51172306421358 22.142804624449468))",77,none,none,none
9880.37480438,1424.46935812,47.9914423044,0,1,"POLYGON ((100.65613168232062 22.226178978986923, 100.60799547628488 22.142804624449468, 100.51172306421358 22.142804624449468, 100.46358685817785 22.226178978986923, 100.51172306421358 22.309553333524207, 100.60799547628488 22.309553333524207, 100.65613168232062 22.226178978986923))",78,none,none,none
9915.87226573,979.056458481,59.8347514591,0,1,"POLYGON ((100.80054030042766 22.142804624449468, 100.75240409439192 22.059430269912014, 100.65613168232062 22.059430269912014, 100.60799547628488 22.142804624449468, 100.65613168232062 22.226178978986923, 100.75240409439192 22.226178978986923, 100.80054030042766 22.142804624449468))",79,none,none,none
9980.6357753,994.02762392,53.0993441856,0,2,"POLYGON ((100.94494891853492 22.226178978986923, 100.89681271249918 22.142804624449468, 100.80054030042766 22.142804624449468, 100.75240409439192 22.226178978986923, 100.80054030042766 22.309553333524207, 100.89681271249918 22.309553333524207, 100.94494891853492 22.226178978986923))",80,via,via,none
9972.95632961,988.992488497,43.6955522069,0,2,"POLYGON ((101.08935753664196 22.142804624449468, 101.04122133060622 22.059430269912014, 100.94494891853492 22.059430269912014, 100.89681271249918 22.142804624449468, 100.94494891853492 22.226178978986923, 101.04122133060622 22.226178978986923, 101.08935753664196 22.142804624449468))",81,none,none,none
9985.31517205,1065.19566437,68.8706095057,0,2,"POLYGON ((101.23376615474899 22.226178978986923, 101.18562994871326 22.142804624449468, 101.08935753664196 22.142804624449468, 101.04122133060622 22.226178978986923, 101.08935753664196 22.309553333524207, 101.18562994871326 22.309553333524207, 101.23376615474899 22.226178978986923))",82,none,none,none
9974.90963231,1083.98743284,54.907083373,0,0,"POLYGON ((101.37817477285603 22.142804624449468, 101.33003856682029 22.059430269912014, 101.23376615474899 22.059430269912014, 101.18562994871326 22.142804624449468, 101.23376615474899 22.226178978986923, 101.33003856682029 22.226178978986923, 101.37817477285603 22.142804624449468))",83,none,none,via
9970.93997413,1270.2820789,72.6487523719,0,0,"POLYGON ((101.52258339096329 22.226178978986923, 101.47444718492756 22.142804624449468, 101.37817477285603 22.142804624449468, 101.33003856682029 22.226178978986923, 101.37817477285603 22.309553333524207, 101.47444718492756 22.309553333524207, 101.52258339096329 22.226178978986923))",84,none,none,none
9989.93033319,1438.79125195,32.4642382909,0,0,"POLYGON ((101.66699200907033 22.142804624449468, 101.61885580303459 22.059430269912014, 101.52258339096329 22.059430269912014, 101.47444718492756 22.142804624449468, 101.52258339096329 22.226178978986923, 101.61885580303459 22.226178978986923, 101.66699200907033 22.142804624449468))",85,none,none,none
